Pressure (mbar),Distance (cm),Load(kg)
100.0,1.3333333333333333,13.659531090723751
200.0,0.7142857142857143,13.295471093636232
300.0,0.8333333333333334,15.715256540944614
400.0,1.0,16.266200669870397
500.0,2.1666666666666665,18.569486918110773
600.0,2.2857142857142856,17.169069462647442
700.0,5.333333333333333,19.554875976894326
800.0,5.0,17.372943061016453
900.0,10.5,19.809717974855587
1000.0,9.428571428571429,17.372943061016453
1100.0,16.666666666666668,19.741760108732585
1200.0,15.285714285714286,17.722440658220474
1300.0,24.666666666666668,19.758749575263337
1400.0,23.428571428571427,18.04281345565749
1500.0,34.5,19.79272850832484
1600.0,33.142857142857146,18.450560652395513
1700.0,46.166666666666664,19.80971797485559
1800.0,45.0,18.727246250182027
1900.0,59.5,19.707781175671084
2000.0,57.57142857142857,18.94568224843454
2100.0,73.33333333333333,19.775739041794086
2200.0,71.14285714285714,18.974807048201544
2300.0,88.66666666666667,19.605844376486576
2400.0,85.42857142857143,18.94568224843454
2500.0,103.16666666666667,19.656812776078834
2600.0,99.42857142857143,18.872870249017037
2700.0,116.83333333333333,19.67380224260958
2800.0,112.85714285714286,18.843745449250036
2900.0,129.5,19.62283384301733
3000.0,125.14285714285714,18.858307849133535
3100.0,140.83333333333334,19.724770642201833
3200.0,136.14285714285714,18.94568224843454
3300.0,151.33333333333334,19.656812776078834
3400.0,146.14285714285714,18.887432648900536
3500.0,160.66666666666666,19.775739041794086
3600.0,154.85714285714286,19.033056647735545
3700.0,169.33333333333334,19.758749575263334
3800.0,163.42857142857142,19.018494247852043
3900.0,177.5,19.605844376486576
4000.0,171.28571428571428,18.829183049366538
4100.0,185.0,19.605844376486576
4200.0,178.28571428571428,18.785495849716032
4300.0,191.33333333333334,19.486918110771324
4400.0,184.57142857142858,18.785495849716035
4500.0,197.66666666666666,19.486918110771324
4600.0,190.42857142857142,18.843745449250036
4700.0,202.66666666666666,19.537886510363574
4800.0,195.85714285714286,18.785495849716032
4900.0,208.16666666666666,19.401970778117565
5000.0,200.85714285714286,18.770933449832533
5100.0,212.83333333333334,19.48691811077132
5200.0,205.42857142857142,18.698121450415027
5300.0,217.16666666666666,19.554875976894323
5400.0,209.42857142857142,18.77093344983253
5500.0,220.66666666666666,19.62283384301733
5600.0,213.42857142857142,18.88743264890054
5700.0,224.66666666666666,19.69079170914033
5800.0,216.85714285714286,18.901995048784038
5900.0,227.66666666666666,19.894665307509346
6000.0,218.71428571428572,19.076743847386048
