Pressure (mbar),Distance (cm),Load(kg)
100.0,5.666666666666667,13.642541624193
200.0,6.857142857142857,12.261540701907675
300.0,13.333333333333334,13.370710159700986
400.0,15.285714285714286,12.086791903305663
500.0,22.5,13.234794427454977
600.0,24.857142857142858,12.450851900393184
700.0,33.5,13.234794427454977
800.0,36.285714285714285,12.640163098878697
900.0,45.666666666666664,13.489636425416242
1000.0,49.57142857142857,12.989660696082714
1100.0,60.166666666666664,13.642541624193
1200.0,65.0,13.164409494684723
1300.0,77.16666666666667,13.591573224600745
1400.0,81.14285714285714,13.047910295616717
1500.0,92.66666666666667,13.829425756031261
1600.0,96.0,13.44109509247124
1700.0,108.0,14.118246687054025
1800.0,111.28571428571429,13.51390709188874
1900.0,123.66666666666667,14.01630988786952
2000.0,124.71428571428571,13.557594291539244
2100.0,136.33333333333334,14.22018348623853
2200.0,137.0,13.615843891073249
2300.0,148.66666666666666,14.322120285423038
2400.0,148.0,13.543031891655744
2500.0,160.0,14.152225620115525
2600.0,159.28571428571428,13.295471093636232
2700.0,170.83333333333334,13.829425756031261
2800.0,167.71428571428572,13.368283093053735
2900.0,179.0,14.033299354400276
3000.0,175.0,13.48478229212174
3100.0,186.16666666666666,14.152225620115528
3200.0,181.85714285714286,13.65953109072375
3300.0,192.5,14.356099218484538
3400.0,187.57142857142858,13.819717489442258
3500.0,198.83333333333334,14.37308868501529
3600.0,193.42857142857142,13.746905490024753
3700.0,204.33333333333334,14.39007815154604
3800.0,198.71428571428572,13.732343090141255
3900.0,209.5,14.39007815154604
4000.0,203.42857142857142,13.819717489442258
4100.0,213.83333333333334,14.475025484199795
4200.0,207.42857142857142,13.83427988932576
4300.0,217.83333333333334,14.509004417261295
4400.0,211.14285714285714,13.907091888743263
4500.0,221.33333333333334,14.610941216445804
4600.0,214.28571428571428,14.096403087228774
4700.0,224.33333333333334,14.89976214746857
4800.0,216.71428571428572,14.504150283966798
4900.0,226.66666666666666,15.341488277268096
5000.0,218.42857142857142,15.115771079073832
5100.0,227.83333333333334,16.139993204213386
5200.0,219.28571428571428,16.091451871268383
5300.0,228.66666666666666,17.074413863404686
5400.0,219.85714285714286,17.139944662880442
5500.0,229.16666666666666,18.178729187903496
5600.0,220.0,18.07193825542449
5700.0,229.16666666666666,19.65681277607883
5800.0,219.85714285714286,19.193243046454057
5900.0,229.16666666666666,19.979612640163097
6000.0,219.42857142857142,19.164118246687053
