Pressure (mbar),Distance (cm),Load(kg)
100.0,0.3333333333333333,9.480122324159021
200.0,-0.25,9.938837920489297
300.0,-0.3333333333333333,11.48487937478763
400.0,0.0,12.181447502548421
500.0,1.3333333333333333,13.931362555215765
600.0,1.25,11.90112130479103
700.0,5.666666666666667,14.37308868501529
800.0,3.75,11.569826707441386
900.0,12.333333333333334,14.37308868501529
1000.0,8.25,11.569826707441386
1100.0,20.0,14.475025484199795
1200.0,14.75,12.10499490316004
1300.0,30.333333333333332,14.305130818892286
1400.0,24.25,12.66564729867482
1500.0,43.333333333333336,14.20319401970778
1600.0,35.75,13.30275229357798
1700.0,58.0,14.101257220523275
1800.0,49.25,13.659531090723751
1900.0,74.66666666666667,14.067278287461773
2000.0,62.75,14.143730886850152
2100.0,90.33333333333333,14.237172952769283
2200.0,77.25,14.271151885830784
2300.0,106.66666666666667,14.20319401970778
2400.0,91.0,14.475025484199794
2500.0,121.33333333333333,14.271151885830784
2600.0,105.0,14.245667686034658
2700.0,134.66666666666666,14.20319401970778
2800.0,118.0,14.169215086646279
2900.0,146.33333333333334,14.20319401970778
3000.0,130.0,14.143730886850154
3100.0,157.0,14.135236153584778
3200.0,140.25,14.245667686034658
3300.0,166.66666666666666,14.067278287461775
3400.0,150.0,14.143730886850154
3500.0,175.33333333333334,14.135236153584776
3600.0,158.0,14.194699286442406
3700.0,183.33333333333334,13.965341488277268
3800.0,166.0,14.220183486238533
3900.0,190.0,14.101257220523275
4000.0,173.0,14.067278287461773
4100.0,196.33333333333334,14.135236153584778
4200.0,179.0,14.169215086646279
4300.0,201.66666666666666,13.999320421338771
4400.0,185.0,14.0927624872579
4500.0,207.33333333333334,14.033299354400272
4600.0,190.25,14.169215086646279
4700.0,212.33333333333334,13.931362555215765
4800.0,195.25,14.067278287461773
4900.0,216.66666666666666,13.965341488277268
5000.0,199.5,14.169215086646279
5100.0,221.0,14.03329935440027
5200.0,204.0,13.965341488277268
5300.0,225.0,13.931362555215765
5400.0,208.0,13.990825688073393
5500.0,228.0,13.965341488277268
5600.0,211.5,14.118246687054027
5700.0,231.33333333333334,14.271151885830784
5800.0,214.5,14.169215086646279
5900.0,234.0,14.37308868501529
6000.0,216.25,14.245667686034658
